Year,Month,Inflation
2004,January,5.4
2004,February,5.4
2004,March,4.5
2004,April,4.3
2004,May,1.6
2004,June,0
2004,July,-0.3
2004,August,0.1
2004,September,1.1
2004,October,-1.7
2004,November,-1.2
2004,December,-4.2
2005,January,-2.2
2005,February,-3
2005,March,-1.8
2005,April,-1.2
2005,May,1.3
2005,June,2.8
2005,July,4.6
2005,August,4.8
2005,September,3.2
2005,October,8.7
2005,November,6.6
2005,December,9.9
2006,January,1.3
2006,February,2.5
2006,March,3.1
2006,April,2.4
2006,May,1.3
2006,June,1.6
2006,July,0
2006,August,-0.6
2006,September,1.1
2006,October,0.7
2006,November,1.2
2006,December,2
2007,January,2.7
2007,February,2.2
2007,March,3.6
2007,April,5.1
2007,May,5.7
2007,June,4.7
2007,July,5.1
2007,August,10.6
2007,September,10
2007,October,8.9
2007,November,9
2007,December,7.4
2008,January,10.9
2008,February,13.4
2008,March,11.3
2008,April,10.4
2008,May,10.8
2008,June,12.4
2008,July,12.9
2008,August,7.8
2008,September,9
2008,October,7.9
2008,November,8.8
2008,December,9.8
2009,January,6.3
2009,February,5.1
2009,March,5.8
2009,April,3.3
2009,May,3.1
2009,June,1
2009,July,1.3
2009,August,0.9
2009,September,-0.7
2009,October,1.5
2009,November,1.6
2009,December,0.4
2010,January,0.7
2010,February,1.4
2010,March,0.3
2010,April,3.1
2010,May,2.5
2010,June,3.4
2010,July,3.2
2010,August,4
2010,September,3
2010,October,2
2010,November,2.9
2010,December,3.3
2011,January,4.3
2011,February,2.4
2011,March,3.2
2011,April,8.5
2011,May,12
2011,June,12.8
2011,July,13.4
2011,August,23.4
2011,September,29.6
2011,October,28.2
2011,November,25.7
2011,December,26.6
2012,January,21.6
2012,February,19
2012,March,17.8
2012,April,10.4
2012,May,9.2
2012,June,8.9
2012,July,8.6
2012,August,0
2012,September,3.1
2012,October,3.7
2012,November,2.9
2012,December,3.6
2013,January,-0.4
2013,February,3.5
2013,March,3.4
2013,April,4.3
2013,May,2.6
2013,June,4.1
2013,July,4
2013,August,3
2013,September,1.3
2013,October,1.7
2013,November,2.4
2013,December,1.7
2014,January,2
2014,February,0.6
2014,March,-1
2014,April,-1
2014,May,1.1
2014,June,1.1
2014,July,0.7
2014,August,3
2014,September,2.5
2014,October,6.3
2014,November,6.3
2014,December,7.1
2015,January,5.4
2015,February,6.6
2015,March,8.7
2015,April,9.8
2015,May,8
2015,June,7.6
2015,July,7.3
2015,August,8.3
2015,September,12
2015,October,13.6
2015,November,14
2015,December,16.9
2016,January,22.2
2016,February,22.7
2016,March,26.5
2016,April,23.5
2016,May,24.4
2016,June,27.4
2016,July,31.6
2016,August,30.1
2016,September,29
2016,October,24.4
2016,November,24.5
2016,December,24
2017,January,22.8
2017,February,23.4
2017,March,25.3
2017,April,29.5
2017,May,31.5
2017,June,28
2017,July,23.7
2017,August,23.7
2017,September,22.1
2017,October,24.5
2017,November,27.3
2017,December,28
2018,January,28
2018,February,21.7
2018,March,16.9
2018,April,14.3
2018,May,14.5
2018,June,15.3
2018,July,15.9
2018,August,14.9
2018,September,14.6
2018,October,7.1
2018,November,2.2
2018,December,-1.8
2019,January,-4
2019,February,-0.3
2019,March,-0.1
2019,April,1.3
2019,May,-0.1
2019,June,-3.1
2019,July,-4.6
2019,August,-6.1
2019,September,-6
2019,October,-1.7
2019,November,-0.9
2019,December,0.9
2020,January,0.8
2020,February,0.4
2020,March,1.4
2020,April,1.3
2020,May,0.3
2020,June,1.7
2020,July,1.9
2020,August,1.9
2020,September,2
2020,October,1.6
2020,November,2
2020,December,2.8
2021,January,2.8
2021,February,2.7
2021,March,1.6
2021,April,0.5
2021,May,1.5
2021,June,2.1
2021,July,3.1
2021,August,3.4
2021,September,3.7
2021,October,4.1
2021,November,5.3
2021,December,3.7
2022,January,4.1
2022,February,4.8
2022,March,5.7
2022,April,5.5
2022,May,5.2
2022,June,5
2022,July,4.3
2022,August,4.3
2022,September,4.3
2022,October,4.1
2022,November,2.9
2022,December,4.1
2023,January,3.8
2023,February,3.1
2023,March,2.4
2023,April,2.3
2023,May,2.5
2023,June,2.4
2023,July,2.1
2023,August,2.1
2023,September,2.1
2023,October,2
2023,November,1.8
2023,December,1.8
2024,January,1.6
2024,February,1.6
2024,March,1.4
2024,April,1.7
2024,May,2
2024,June,2.3
